Company Name,Industry,Symbol,Bonus,macd ,rsi,sector trend
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,,,,
Persistent Systems Ltd.,Information Technology,PERSISTENT,,,,
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,,,,
Phoenix Mills Ltd.,Realty,PHOENIXLTD,,,,
Pidilite Industries Ltd.,Chemicals,PIDILITIND,,,,
Polycab India Ltd.,Capital Goods,POLYCAB,,,,
Power Finance Corporation Ltd.,Financial Services,PFC,,,,
Power Grid Corporation of India Ltd.,Power,POWERGRID,,,,
Premier Energies Ltd.,Capital Goods,PREMIERENE,,,,
Prestige Estates Projects Ltd.,Realty,PRESTIGE,,,,
Punjab National Bank,Financial Services,PNB,,,,
REC Ltd.,Financial Services,RECLTD,,,,
Rail Vikas Nigam Ltd.,Construction,RVNL,,,,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,,,,
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,,,,
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,,,,
SJVN Ltd.,Power,SJVN,,,,
SRF Ltd.,Chemicals,SRF,,,,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,,,,
Shree Cement Ltd.,Construction Materials,SHREECEM,,,,
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,,,,
Siemens Ltd.,Capital Goods,SIEMENS,,,,
Solar Industries India Ltd.,Chemicals,SOLARINDS,,,,
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,,,,
State Bank of India,Financial Services,SBIN,,,,
Steel Authority of India Ltd.,Metals & Mining,SAIL,,,,
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,,,,
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,,,,
Suzlon Energy Ltd.,Capital Goods,SUZLON,,,,
Swiggy Ltd.,Consumer Services,SWIGGY,,,,
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,,,,
Tata Communications Ltd.,Telecommunication,TATACOMM,,,,
Tata Consultancy Services Ltd.,Information Technology,TCS,0,,,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,,,,
Tata Elxsi Ltd.,Information Technology,TATAELXSI,,,,
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,,,,
Tata Power Co. Ltd.,Power,TATAPOWER,,,,
Tata Steel Ltd.,Metals & Mining,TATASTEEL,,,,
Tata Technologies Ltd.,Information Technology,TATATECH,,,,
Tech Mahindra Ltd.,Information Technology,TECHM,,,,
Titan Company Ltd.,Consumer Durables,TITAN,,,,
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,,,,
Torrent Power Ltd.,Power,TORNTPOWER,,,,
Trent Ltd.,Consumer Services,TRENT,,,,
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,,,,
UPL Ltd.,Chemicals,UPL,,,,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,,,,
Union Bank of India,Financial Services,UNIONBANK,,,,
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,,,,
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,,,,
Vedanta Ltd.,Metals & Mining,VEDL,,,,
Vishal Mega Mart Ltd.,Consumer Services,VMM,,,,
Vodafone Idea Ltd.,Telecommunication,IDEA,,,,
Voltas Ltd.,Consumer Durables,VOLTAS,,,,
Waaree Energies Ltd.,Capital Goods,WAAREEENER,,,,
Wipro Ltd.,Information Technology,WIPRO,,,,
Yes Bank Ltd.,Financial Services,YESBANK,,,,
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,,,,


